,,T-Statistic,P-Value
fg_pct_00_03,5,-0.29885163342770177,0.7669854965112444
fg_pct_03_10,1,-0.8814752904975777,0.3814651634715699
fg_pct_03_10,2,-0.6062128379504157,0.5465176620056458
fg_pct_03_10,3,-1.6692629562634689,0.10157566525256452
fg_pct_03_10,4,-2.4177115476363156,0.020266823233414402
fg_pct_03_10,5,-1.2946997687611819,0.20468839270755146
fg_pct_10_16,1,-1.2212932134700136,0.22659884535592248
fg_pct_10_16,2,-0.5835047438261434,0.5616043417900429
fg_pct_10_16,3,-1.727333653391198,0.09053816241726105
fg_pct_10_16,4,-1.045535886882332,0.3020527071016163
fg_pct_10_16,5,-1.4443869455688887,0.15835107843547316
fg_pct_16_xx,1,-0.4301055645036077,0.6686101723150348
fg_pct_16_xx,2,0.16725952452685316,0.8676932219114991
fg_pct_16_xx,3,0.41198903566931444,0.6821815737040193
fg_pct_16_xx,4,-0.28600632052787484,0.7763493049789426
fg_pct_16_xx,5,0.3788805354061794,0.707278928234111
fg_pct_fg3a,1,-0.7224397099029893,0.4727404686018115
fg_pct_fg3a,2,-0.32902985273815905,0.7432074330295814
fg_pct_fg3a,3,-0.8079082497593325,0.4231292979850626
fg_pct_fg3a,4,0.3159828949016806,0.7536584471406159
fg_pct_fg3a,5,-1.4819561679774929,0.1481333776003706
pct_fga_dunk,1,5.067220715507513,3.8930288992450955e-06
pct_fga_dunk,2,2.151170317723778,0.035243843019566665
pct_fga_dunk,3,1.6588031268212773,0.1036767783174615
pct_fga_dunk,4,0.8962776558767047,0.3754670180415268
pct_fga_dunk,5,1.3320681627804147,0.19224772244908422
fg_dunk,1,2.371342775923108,0.020844102237479487
fg_dunk,2,1.3927724204468939,0.16850825459340701
fg_dunk,3,-0.1678306823396041,0.867421621023688
fg_dunk,4,-1.704253982101835,0.09609109633591546
fg_dunk,5,-0.2860391297937861,0.7766917749345443
pct_fg3a_corner3,1,-0.5935695592404963,0.5549594467982699
pct_fg3a_corner3,2,-0.6154097419004563,0.5404664572216902
pct_fg3a_corner3,3,-1.5411838223501069,0.12983944246608703
pct_fg3a_corner3,4,-2.3468341993332213,0.02397246521885237
pct_fg3a_corner3,5,-1.6565536808975456,0.10738438871930094
fg_pct_corner3,1,1.0299105869707634,0.30705310619238513
fg_pct_corner3,2,0.2767715631809696,0.7828474411722529
fg_pct_corner3,3,0.6840836981890244,0.49721188182277876
fg_pct_corner3,4,0.13115426453348764,0.8963107162896993
fg_pct_corner3,5,-0.2292928140358685,0.8201005799520928
cluster,1,-1.9617413561582908,0.054286206411426265
cluster,2,-1.8789608252694976,0.06480508789373185
cluster,3,0.37349000203228017,0.7104283292723577
cluster,4,-0.18144364703647176,0.856935683273328
cluster,5,-0.9906817896166612,0.32927332009993493
