Date,Team,Notes,Status,Player
2006-12-22,Nets,torn ACL in left knee (out for season),Relinquished,Nenad Krstic
2006-12-23,Nets,placed on IL with torn ACL in left knee (out for season),Relinquished,Nenad Krstic
2007-01-10,Nets,surgery on left knee to repair torn ACL,Relinquished,Nenad Krstic
2007-01-11,Celtics,torn ACL in left knee (out for season),Relinquished,Tony Allen
2007-01-12,Celtics,placed on IL with torn ACL in left knee (out for season),Relinquished,Tony Allen
2007-01-13,Celtics,surgery on left knee to repair torn ACL,Relinquished,Tony Allen
2007-02-08,Mavericks,placed on IL with torn ACL in right knee (out for season),Relinquished,Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga
2007-02-20,Mavericks,surgery on right knee to repair torn ACL,Relinquished,Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga
2007-02-27,Clippers,torn ligaments in left knee (including ACL) and dislocated left kneecap (out for season),Relinquished,Shaun Livingston
2007-10-21,Bobcats,torn ACL in left knee (out for season),Relinquished,Adam Morrison
2007-10-29,Bobcats,placed on IL with torn ACL in left knee,Relinquished,Adam Morrison
2007-10-29,Knicks,placed on IL with sprained ACL in right knee,Relinquished,Jared Jeffries
2007-10-31,Sonics,recovering from surgery on right knee to repair torn ACL (DTD),Relinquished,Robert Swift
2007-11-09,Bobcats,surgery on left knee to repair torn ACL,Relinquished,Adam Morrison
2007-12-21,Clippers,torn ACL in right knee (out for season),Relinquished,Paul Davis
2007-12-22,Clippers,placed on IL with torn ACL in right knee,Relinquished,Paul Davis
2008-01-04,Clippers,surgery on right knee to repair torn ACL and torn lateral meniscus,Relinquished,Paul Davis
2008-03-20,Sonics,torn ACL in right knee (out for season),Relinquished,Mickael Gelabale
2008-08-08,76ers,torn ACL in left knee (out indefinitely)),Relinquished,Jason Smith
2008-09-08,Heat,torn ACL in knee (out for season),Relinquished,Jason Richards
2008-09-17,76ers,surgery on left knee to repair torn ACL (out for season),Relinquished,Jason Smith
2008-10-29,76ers,placed on IL recovering from surgery on left knee to repair torn ACL,Relinquished,Jason Smith
2008-10-29,Magic,placed on IL with torn ACL in right knee,Relinquished,Mike Wilks
2008-12-01,Timberwolves,placed on IL with torn ACL in right knee (out for season),Relinquished,Corey Brewer
2008-12-17,Timberwolves,surgery on right knee to repair torn ACL (out for season),Relinquished,Corey Brewer
2009-01-25,Bucks,torn ACL and MCL in left knee (out for season),Relinquished,Michael Redd
2009-01-26,Bucks,placed on IL with torn ACL and MCL in left knee (out for season),Relinquished,Michael Redd
2009-02-09,Timberwolves,torn ACL in right knee (out for season),Relinquished,Al Jefferson
2009-02-10,Timberwolves,torn ACL in right knee (DNP),Relinquished,Al Jefferson
2009-02-17,Timberwolves,placed on IL with torn ACL in right knee (out for season),Relinquished,Al Jefferson
2009-02-18,Timberwolves,surgery on right knee to repair torn ACL,Relinquished,Al Jefferson
2009-03-03,Bucks,surgery on left knee to repair torn ACL,Relinquished,Michael Redd
