Date,Team,Acquired,Relinquished,Notes
2000-01-11,Rockets,,Kelvin Cato,sprained right wrist (DNP)
2000-01-11,Suns,,Oliver Miller,right triceps injury (DNP)
2000-01-11,Suns,Corie Blount,,activated from IL
2000-01-11,Timberwolves,Wally Szczerbiak,,activated from IL
2000-01-12,Blazers,,Arvydas Sabonis,viral infection (DNP)
2000-01-12,Clippers,,Tyrone Nesby,family illness (DNP)
2000-01-12,Grizzlies,,Obinna Ekezie,placed on IL with sprained left ankle
2000-01-12,Grizzlies,Doug West,,activated from IL
2000-01-12,Magic,,Monty Williams,placed on IR with bruised lower back
2000-01-12,Magic,Anthony Parker,,activated from IL
2000-01-12,Raptors,,Dee Brown (a),arthroscopic surgery on left knee (out 4-6 weeks)
2000-01-12,Raptors,,Dee Brown (a),left knee injury (DNP)
2000-01-12,Suns,,Oliver Miller,pulled right triceps (DNP)
2000-01-13,Clippers,,Tyrone Nesby,family illness (DNP)
2000-01-13,Rockets,,Carlos Rogers,personal reasons (DNP)
2000-01-13,Rockets,,Hakeem Olajuwon,inguinal hernia (DNP)
2000-01-13,Rockets,,Kelvin Cato,placed on IL with sprained right wrist
2000-01-13,Rockets,Hakeem Olajuwon,,activated from IL
2000-01-13,Warriors,,Erick Dampier,recovering from left knee surgery (DNP)
2000-01-14,Bucks,,Dale Ellis,strep throat (DTD)
Date,Team,Acquired,Relinquished,Notes
2000-01-14,Bulls,,Corey Benjamin,sprained right ankle (DNP)
2000-01-14,Bulls,,Randy Brown,sore left knee (DNP)
2000-01-14,Cavaliers,,Wesley Person,personal reasons (DNP)
2000-01-14,Hawks,,Chris Crawford (Lee),bruised left elbow & tailbone (DNP)
2000-01-14,Mavericks,,Steve Nash,sprained right ankle (DNP)
2000-01-14,Nuggets,,Nick Van Exel,strained right groin (DNP)
2000-01-14,Rockets,,Hakeem Olajuwon,inguinal hernia (DNP)
2000-01-14,Suns,,Oliver Miller,pulled right triceps (DNP)
2000-01-14,Suns,,Rex Chapman,sore right ankle (DNP)
2000-01-14,Wizards,,Richard Hamilton,death in family (DNP)
2000-01-15,Bucks,,Dale Ellis,strep throat (DNP)
2000-01-15,Bulls,,Corey Benjamin,sprained right ankle (DNP)
2000-01-15,Bulls,,Randy Brown,sore left knee (DNP)
2000-01-15,Mavericks,,Gary Trent,strained left groin (DNP)
2000-01-15,Mavericks,,Steve Nash,sprained right ankle (DNP)
2000-01-15,Rockets,,Hakeem Olajuwon,inguinal hernia (DNP)
2000-01-15,Warriors,,Erick Dampier,recovering from left knee surgery (DNP)
2000-01-16,Cavaliers,,Danny Ferry,strained left calf (DNP)
2000-01-16,Cavaliers,,Ryan Stack,placed on IR with dehydration & allergic reaction
2000-01-16,Cavaliers,Danny Ferry,,activated from IL
2000-01-16,Suns,,Oliver Miller,strained right triceps (DNP)
2000-01-16,Suns,,Rex Chapman,sore right ankle (DNP)
2000-01-17,Hawks,,Vernell Coles / Bimbo Coles,flu (DNP)
2000-01-17,Magic,Derek Strong,,activated from IL
2000-01-17,Mavericks,,Gary Trent,strained left groin (DNP)
Date,Team,Acquired,Relinquished,Notes
